,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,SourceEUI(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity
1593,NonResidential,Other,6,BALLARD,47.66646,-122.38263,1900,3,4914,"Other, Parking",Other,Parking,2900.0,262.7999878,7536508.5,0.0,1749609.0,False,Compliant,303.81,6.64
1594,Multifamily LR (1-4),Low-Rise Multifamily,6,BALLARD,47.66613,-122.38149,1911,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,47.40000153,731367.0,0.0,333890.0,False,Compliant,21.69,0.72
1595,NonResidential,Small- and Mid-Sized Office,6,BALLARD,47.66497,-122.38047,1968,2,0,Office,Office,Rien,28444.075817081597,181.3999939,1745284.25,0.0,1192984.0,False,Compliant,34.52,1.47
1596,NonResidential,Small- and Mid-Sized Office,6,BALLARD,47.66431,-122.37988,1966,1,0,Office,Office,Rien,28444.075817081597,56.09999847,665681.875,0.0,306298.0,False,Compliant,16.67,0.75
1597,NonResidential,Self-Storage Facility,6,BALLARD,47.66351,-122.37961,1902,2,0,Self-Storage Facility,Self-Storage Facility,Rien,28444.075817081597,39.59999847,599426.5,0.0,201999.0,False,Compliant,17.39,0.72
1598,Multifamily LR (1-4),Low-Rise Multifamily,6,BALLARD,47.66624,-122.38062,1964,4,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,3529.0,84.0,930534.125,0.0,868860.0,False,Compliant,6.06,0.17
1599,NonResidential,Mixed Use Property,6,BALLARD,47.66852,-122.38175,1909,3,0,"Multifamily Housing, Office, Other, Strip Mall",Strip Mall,Office,8196.0,153.1000061,2151546.25,0.0,981638.0,False,Compliant,60.67,2.24
1600,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTHEAST,47.69639,-122.30507,1979,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,76.90000153,2018943.0,0.0,1795655.0,False,Compliant,19.7,0.26
1601,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTHWEST,47.69724,-122.34847,1987,3,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,6308.0,79.80000305,566408.5,0.0,520206.0,False,Compliant,3.63,0.15
1602,Multifamily LR (1-4),Low-Rise Multifamily,5,North,47.72958,-122.31321,1975,3,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,3248.0,91.30000305,2309997.25,0.0,2127534.0,False,Compliant,14.83,0.19
1603,Multifamily LR (1-4),Low-Rise Multifamily,6,NORTHWEST,47.6992,-122.35582,1994,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,76.5,1494319.25,0.0,982020.0,False,Compliant,30.49,0.66
1604,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTHWEST,47.72251,-122.3551,1988,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,65.69999695,1245218.0,0.0,1207093.0,False,Compliant,8.42,0.15
1605,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTHWEST,47.72786,-122.35586,1995,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,106.8000031,926708.875,0.0,885866.0,False,Compliant,6.18,0.24
1606,Nonresidential COS,Other,5,NORTH,47.70544,-122.2918,1996,2,0,"Fitness Center/Health Club/Gym, Other - Recreation, Swimming Pool",Other - Recreation,Fitness Center/Health Club/Gym,2648.0,402.5,8571176.0,0.0,2608582.0,False,Compliant,309.14,10.57
